id,target,reading,english,part_of_speech,topic,source_id,source_entry,level_basis
ko-nikl-03991,-씩,,A suffix used to mean being divided by that number or size. / A suffix used to mean very unexpectedly by being attached to something that exceeds one's anticipation or expectation.,affix,general / source uncategorized,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=3991,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-46277,-어,,A suffix used to mean language or word.,affix,general / source uncategorized,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=46277,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-46992,-여,,A suffix used to mean &quot;to exceed that number.&quot;,affix,general / source uncategorized,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=46992,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-49112,-용,,A suffix used to mean an object used for something or an object for that person.,affix,general / source uncategorized,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=49112,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-49665,-원,,A suffix used to mean a person who is engaged in something. / A suffix used to mean a person who is involved in a group or organization.,affix,people > types of people,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=49665,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-49667,-원,,A suffix used to mean a public institution or an organization.,affix,general / source uncategorized,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=49667,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-50584,-율,,A suffix used to mean a ratio.,affix,concepts > degree,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=50584,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-11981,-자,,A suffix used to mean a person.,affix,people > types of people,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=11981,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-12778,-장,,A suffix used to mean a place.,affix,general / source uncategorized,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=12778,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-13498,-적,,"A suffix used to mean &quot;having that character,&quot; &quot;being related to something,&quot; &quot;being such a state.&quot;",affix,general / source uncategorized,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=13498,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
